Match info: 392204.yaml
['Royal Challengers Bangalore', 'Kings XI Punjab']
JD Ryder {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
R Bishnoi {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
SP Goswami {'total runs given': 0, 'batsman matches played': 3, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 86, 'total runs': 82, 'bowler balls': 0}
JH Kallis {'total runs given': 322, 'batsman matches played': 11, 'total wickets': 4, 'bowler matches played': 11, 'total balls': 188, 'total runs': 199, 'bowler balls': 211}
RV Uthappa {'total runs given': 0, 'batsman matches played': 14, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 291, 'total runs': 320, 'bowler balls': 0}
V Kohli {'total runs given': 62, 'batsman matches played': 12, 'total wickets': 2, 'bowler matches played': 4, 'total balls': 168, 'total runs': 165, 'bowler balls': 49}
RE van der Merwe {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
P Kumar {'total runs given': 376, 'batsman matches played': 12, 'total wickets': 11, 'bowler matches played': 13, 'total balls': 100, 'total runs': 112, 'bowler balls': 275}
MV Boucher {'total runs given': 0, 'batsman matches played': 10, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 181, 'total runs': 225, 'bowler balls': 0}
KP Appanna {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
A Kumble {'total runs given': 314, 'batsman matches played': 4, 'total wickets': 7, 'bowler matches played': 10, 'total balls': 17, 'total runs': 13, 'bowler balls': 236}
K Goel {'total runs given': 25, 'batsman matches played': 6, 'total wickets': 0, 'bowler matches played': 1, 'total balls': 79, 'total runs': 76, 'bowler balls': 12}
Yuvraj Singh {'total runs given': 85, 'batsman matches played': 14, 'total wickets': 3, 'bowler matches played': 6, 'total balls': 191, 'total runs': 299, 'bowler balls': 56}
SM Katich {'total runs given': 0, 'batsman matches played': 2, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 72, 'total runs': 96, 'bowler balls': 0}
KC Sangakkara {'total runs given': 0, 'batsman matches played': 9, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 207, 'total runs': 320, 'bowler balls': 0}
DPMD Jayawardene {'total runs given': 0, 'batsman matches played': 12, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 138, 'total runs': 179, 'bowler balls': 0}
IK Pathan {'total runs given': 361, 'batsman matches played': 10, 'total wickets': 15, 'bowler matches played': 14, 'total balls': 120, 'total runs': 131, 'bowler balls': 336}
PP Chawla {'total runs given': 396, 'batsman matches played': 7, 'total wickets': 17, 'bowler matches played': 15, 'total balls': 61, 'total runs': 90, 'bowler balls': 286}
TM Srivastava {'total runs given': 0, 'batsman matches played': 2, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 10, 'total runs': 8, 'bowler balls': 0}
RR Powar {'total runs given': 93, 'batsman matches played': 1, 'total wickets': 3, 'bowler matches played': 5, 'total balls': 21, 'total runs': 28, 'bowler balls': 77}
VS Malik {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
YA Abdulla {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}

Match info: 392210.yaml
['Kings XI Punjab', 'Rajasthan Royals']
NV Ojha {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
GC Smith {'total runs given': 0, 'batsman matches played': 11, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 374, 'total runs': 441, 'bowler balls': 0}
YK Pathan {'total runs given': 233, 'batsman matches played': 15, 'total wickets': 8, 'bowler matches played': 13, 'total balls': 253, 'total runs': 435, 'bowler balls': 170}
LA Carseldine {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
RA Jadeja {'total runs given': 21, 'batsman matches played': 9, 'total wickets': 0, 'bowler matches played': 2, 'total balls': 108, 'total runs': 135, 'bowler balls': 13}
AS Raut {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
A Singh {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
SM Harwood {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
SK Trivedi {'total runs given': 407, 'batsman matches played': 3, 'total wickets': 13, 'bowler matches played': 15, 'total balls': 12, 'total runs': 5, 'bowler balls': 300}
SK Warne {'total runs given': 409, 'batsman matches played': 7, 'total wickets': 19, 'bowler matches played': 15, 'total balls': 60, 'total runs': 70, 'bowler balls': 319}
KC Sangakkara {'total runs given': 0, 'batsman matches played': 10, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 230, 'total runs': 337, 'bowler balls': 0}
SM Katich {'total runs given': 0, 'batsman matches played': 3, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 77, 'total runs': 99, 'bowler balls': 0}
DPMD Jayawardene {'total runs given': 0, 'batsman matches played': 13, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 154, 'total runs': 198, 'bowler balls': 0}
IK Pathan {'total runs given': 380, 'batsman matches played': 11, 'total wickets': 17, 'bowler matches played': 15, 'total balls': 130, 'total runs': 143, 'bowler balls': 360}
Yuvraj Singh {'total runs given': 107, 'batsman matches played': 15, 'total wickets': 6, 'bowler matches played': 7, 'total balls': 226, 'total runs': 349, 'bowler balls': 81}
RR Powar {'total runs given': 101, 'batsman matches played': 1, 'total wickets': 3, 'bowler matches played': 6, 'total balls': 21, 'total runs': 28, 'bowler balls': 83}
