1/64 - Trying C: 1.0000e-09, gamma: 1.0000e-09 accuracy: 0.5506
2/64 - Trying C: 1.0000e-09, gamma: 1.0000e-04 accuracy: 0.6102
3/64 - Trying C: 1.0000e-09, gamma: 1.0000e-03 accuracy: 0.6352
4/64 - Trying C: 1.0000e-09, gamma: 1.0000e-02 accuracy: 0.6352
5/64 - Trying C: 1.0000e-09, gamma: 0.0000e+00 accuracy: 0.5456
6/64 - Trying C: 1.0000e-09, gamma: 1.0000e+00 accuracy: 0.5506
7/64 - Trying C: 1.0000e-09, gamma: 3.0000e+00 accuracy: 0.5506
8/64 - Trying C: 1.0000e-09, gamma: 1.0000e+13 accuracy: 0.5506
9/64 - Trying C: 1.0000e-04, gamma: 1.0000e-09 accuracy: 0.5506
10/64 - Trying C: 1.0000e-04, gamma: 1.0000e-04 accuracy: 0.6324
11/64 - Trying C: 1.0000e-04, gamma: 1.0000e-03 accuracy: 0.6352
12/64 - Trying C: 1.0000e-04, gamma: 1.0000e-02 accuracy: 0.6352
13/64 - Trying C: 1.0000e-04, gamma: 0.0000e+00 accuracy: 0.5506
14/64 - Trying C: 1.0000e-04, gamma: 1.0000e+00 accuracy: 0.5506
15/64 - Trying C: 1.0000e-04, gamma: 3.0000e+00 accuracy: 0.5506
16/64 - Trying C: 1.0000e-04, gamma: 1.0000e+13 accuracy: 0.5506
17/64 - Trying C: 1.0000e-03, gamma: 1.0000e-09 accuracy: 0.5506
18/64 - Trying C: 1.0000e-03, gamma: 1.0000e-04 accuracy: 0.6324
19/64 - Trying C: 1.0000e-03, gamma: 1.0000e-03 accuracy: 0.6352
20/64 - Trying C: 1.0000e-03, gamma: 1.0000e-02 accuracy: 0.6352
21/64 - Trying C: 1.0000e-03, gamma: 0.0000e+00 accuracy: 0.5506
22/64 - Trying C: 1.0000e-03, gamma: 1.0000e+00 accuracy: 0.5506
23/64 - Trying C: 1.0000e-03, gamma: 3.0000e+00 accuracy: 0.5506
24/64 - Trying C: 1.0000e-03, gamma: 1.0000e+13 accuracy: 0.5506
25/64 - Trying C: 1.0000e-02, gamma: 1.0000e-09 accuracy: 0.5506
26/64 - Trying C: 1.0000e-02, gamma: 1.0000e-04 accuracy: 0.6324
27/64 - Trying C: 1.0000e-02, gamma: 1.0000e-03 accuracy: 0.6352
28/64 - Trying C: 1.0000e-02, gamma: 1.0000e-02 accuracy: 0.6352
29/64 - Trying C: 1.0000e-02, gamma: 0.0000e+00 accuracy: 0.5506
30/64 - Trying C: 1.0000e-02, gamma: 1.0000e+00 accuracy: 0.5506
31/64 - Trying C: 1.0000e-02, gamma: 3.0000e+00 accuracy: 0.5506
32/64 - Trying C: 1.0000e-02, gamma: 1.0000e+13 accuracy: 0.5506
33/64 - Trying C: 0.0000e+00, gamma: 1.0000e-09 accuracy: 0.5506
34/64 - Trying C: 0.0000e+00, gamma: 1.0000e-04 accuracy: 0.5506
35/64 - Trying C: 0.0000e+00, gamma: 1.0000e-03 accuracy: 0.5506
36/64 - Trying C: 0.0000e+00, gamma: 1.0000e-02 accuracy: 0.5506
37/64 - Trying C: 0.0000e+00, gamma: 0.0000e+00 accuracy: 0.5506
38/64 - Trying C: 0.0000e+00, gamma: 1.0000e+00 accuracy: 0.5506
39/64 - Trying C: 0.0000e+00, gamma: 3.0000e+00 accuracy: 0.5506
40/64 - Trying C: 0.0000e+00, gamma: 1.0000e+13 accuracy: 0.5506
41/64 - Trying C: 1.0000e+00, gamma: 1.0000e-09 accuracy: 0.5506
42/64 - Trying C: 1.0000e+00, gamma: 1.0000e-04 accuracy: 0.6525
43/64 - Trying C: 1.0000e+00, gamma: 1.0000e-03 accuracy: 0.6352
44/64 - Trying C: 1.0000e+00, gamma: 1.0000e-02 accuracy: 0.6352
45/64 - Trying C: 1.0000e+00, gamma: 0.0000e+00 accuracy: 0.5506
46/64 - Trying C: 1.0000e+00, gamma: 1.0000e+00 accuracy: 0.5506
47/64 - Trying C: 1.0000e+00, gamma: 3.0000e+00 accuracy: 0.5506
48/64 - Trying C: 1.0000e+00, gamma: 1.0000e+13 accuracy: 0.5506
49/64 - Trying C: 3.0000e+00, gamma: 1.0000e-09 accuracy: 0.5506
50/64 - Trying C: 3.0000e+00, gamma: 1.0000e-04 accuracy: 0.6501
51/64 - Trying C: 3.0000e+00, gamma: 1.0000e-03 accuracy: 0.6352
52/64 - Trying C: 3.0000e+00, gamma: 1.0000e-02 accuracy: 0.6352
53/64 - Trying C: 3.0000e+00, gamma: 0.0000e+00 accuracy: 0.5506
54/64 - Trying C: 3.0000e+00, gamma: 1.0000e+00 accuracy: 0.5506
55/64 - Trying C: 3.0000e+00, gamma: 3.0000e+00 accuracy: 0.5506
56/64 - Trying C: 3.0000e+00, gamma: 1.0000e+13 accuracy: 0.5506
57/64 - Trying C: 1.0000e+13, gamma: 1.0000e-09 accuracy: 0.5981
58/64 - Trying C: 1.0000e+13, gamma: 1.0000e-04 accuracy: 0.6501
59/64 - Trying C: 1.0000e+13, gamma: 1.0000e-03 accuracy: 0.6352
60/64 - Trying C: 1.0000e+13, gamma: 1.0000e-02 accuracy: 0.6352
61/64 - Trying C: 1.0000e+13, gamma: 0.0000e+00 accuracy: 0.5506
62/64 - Trying C: 1.0000e+13, gamma: 1.0000e+00 accuracy: 0.5506
63/64 - Trying C: 1.0000e+13, gamma: 3.0000e+00 accuracy: 0.5506
64/64 - Trying C: 1.0000e+13, gamma: 1.0000e+13 accuracy: 0.5506
